time,bodyPosX_ref,bodyPosX_cur,bodyPosY_ref,bodyPosY_cur,bodyPosZ_ref,bodyPosZ_cur
0.668000,0.000000,-0.007039,-0.000000,0.001114,0.593700,0.573346
0.670000,0.000000,-0.007040,-0.000000,0.001095,0.593700,0.573426
0.672000,0.000000,-0.007042,-0.000000,0.001088,0.593700,0.573523
0.674000,0.000000,-0.007043,-0.000000,0.001078,0.593700,0.573631
0.676000,0.000000,-0.007045,-0.000000,0.001069,0.593700,0.573749
0.678000,0.000000,-0.007046,-0.000000,0.001061,0.593700,0.573878
0.680000,0.000000,-0.007045,-0.000000,0.001053,0.593700,0.574018
0.682000,0.000000,-0.007042,-0.000000,0.001045,0.593700,0.574166
0.684000,0.000000,-0.007038,-0.000000,0.001038,0.593700,0.574324
0.686000,0.000000,-0.007031,-0.000000,0.001032,0.593700,0.574489
0.688000,0.000000,-0.007023,-0.000000,0.001025,0.593700,0.574662
0.690000,0.000000,-0.007013,-0.000000,0.001019,0.593700,0.574842
0.692000,0.000000,-0.007000,-0.000000,0.001014,0.593700,0.575028
0.694000,0.000000,-0.006986,-0.000000,0.001008,0.593700,0.575218
0.696000,0.000000,-0.006970,-0.000000,0.001003,0.593700,0.575413
0.698000,0.000000,-0.006953,-0.000000,0.000998,0.593700,0.575611
0.700000,0.000000,-0.006934,-0.000000,0.000993,0.593700,0.575813
0.702000,0.000000,-0.006913,-0.000000,0.000989,0.593700,0.576016
0.704000,0.000000,-0.006891,-0.000000,0.000984,0.593700,0.576222
0.706000,0.000000,-0.006868,-0.000000,0.000980,0.593700,0.576428
0.708000,0.000000,-0.006844,-0.000000,0.000977,0.593700,0.576635
0.710000,0.000000,-0.006818,-0.000000,0.000973,0.593700,0.576841
0.712000,0.000000,-0.006792,-0.000000,0.000969,0.593700,0.577048
0.714000,0.000000,-0.006765,-0.000000,0.000966,0.593700,0.577254
0.716000,0.000000,-0.006737,-0.000000,0.000962,0.593700,0.577460
0.718000,0.000000,-0.006709,-0.000000,0.000959,0.593700,0.577665
0.720000,0.000000,-0.006680,-0.000000,0.000956,0.593700,0.577869
0.722000,0.000000,-0.006651,-0.000000,0.000953,0.593700,0.578072
0.724000,0.000000,-0.006621,-0.000000,0.000950,0.593700,0.578274
